feature,xgb_importance
robot_active_roll3_mean,0.0010112323565408588
order_inflow_15m_scen_mean,0.0010053920676000416
congestion_score_roll3_mean,0.0009988819598220288
congestion_score_roll5_min,0.0009979381109587848
low_battery_ratio_roll10_mean,0.0009924028650857507
order_inflow_15m_ewm_mean,0.000991865841206163
order_per_station_rel_to_scen,0.000990095385350287
robot_per_station,0.0009891749359667301
order_pressure_diff1,0.0009845814434811472
robot_idle_roll3_min,0.0009801873238757253
max_zone_density_scen_max,0.0009775827871635555
avg_trip_distance_scen_mean,0.000973410380538553
robot_idle_roll3_max,0.0009689981816336513
order_per_station_roll3_min,0.0009651524014770985
pack_utilization_lag5,0.0009625558974221349
robot_efficiency_roll3_mean,0.0009616996743716299
bottle_neck_roll10_min,0.0009562954190187156
battery_cv_exp_mean,0.0009546282235532999
pack_utilization_lag3,0.0009533499833196402
robot_idle_roll5_mean,0.0009525184286758304
risk_index_roll10_min,0.0009453915758058429
robot_efficiency_roll5_mean,0.0009422641946002841
order_per_station_scen_rank,0.0009401334449648857
order_per_station_roll3_mean,0.0009389462997205555
v13_row_frac_in_scen,0.0009366743150167167
bottle_neck_roll3_mean,0.0009323431761004031
bottle_neck_ewm_mean,0.000929273955989629
order_pressure_diff2,0.0009289968060329556
max_zone_density_roll3_max,0.0009268005611374974
avg_trip_distance_scen_min,0.0009216040605679154
order_inflow_15m_scen_max,0.0009184344788081944
congestion_score_roll3_max,0.0009157810709439218
max_zone_density_roll10_min,0.0009139072615653276
order_inflow_15m_roll5_mean,0.0009134008432738483
bottle_neck_roll10_mean,0.0009082208154723049
risk_index_roll5_mean,0.0009082157397642731
order_inflow_15m_scen_std,0.0009068643674254417
order_inflow_15m_roll3_mean,0.0009033641079440712
target_diff2,0.0009027108084410429
v13_sqrt_order_inflow,0.0009015307878144085
robot_efficiency_roll5_max,0.0008990782196633517
order_pressure_lag4,0.0008919952088035643
risk_index_diff2,0.0008911049575544894
pack_utilization_scen_std,0.0008843358024023473
pack_utilization_roll3_max,0.0008813705877400935
bottle_neck_roll3_min,0.0008789598825387657
order_per_station_diff1,0.0008777997107245028
congestion_score_scen_std,0.0008732192567549646
battery_risk_roll10_mean,0.0008709319052286446
risk_index_roll3_min,0.0008705224376171827
order_per_station_roll3_max,0.0008680713945068419
max_zone_density_lag2,0.0008627563598565757
max_zone_density_lag4,0.0008620345615781844
robot_active_roll3_max,0.0008603541646152735
cumulative_orders,0.0008597223320975899
risk_index_roll3_mean,0.000858589494600892
avg_trip_distance_scen_max,0.0008583306800574065
bottle_neck_roll10_max,0.000857282686047256
ts_x_low_battery_ratio,0.0008565108524635434
risk_index_diff1,0.0008556081331335009
order_per_station_scen_min,0.0008511699154041708
max_zone_density_diff1,0.0008498352020978927
max_zone_density_roll5_mean,0.0008476812159642577
battery_cv_roll10_max,0.0008463382720947266
order_per_station_lag2,0.0008438809891231358
congestion_score_scen_max,0.0008410454727709293
timeslot,0.0008378364611417056
robot_efficiency_roll3_max,0.0008368774433620274
risk_index_roll3_max,0.0008362420019693672
max_zone_density_ewm_mean,0.0008360851206816733
bottle_neck_roll3_max,0.0008338537882082164
bottle_neck_roll5_min,0.0008335368009284138
order_inflow_15m_roll3_max,0.000831970211584121
robot_idle_scen_mean,0.0008311675512231887
low_battery_ratio_roll3_min,0.000823486247099936
order_inflow_15m_diff1,0.0008232565829530359
bottle_neck_roll5_max,0.00081576470984146
timeslot_te,0.0008156585041433573
