fold,n,mae,median_error,p90_error,p95_error,max_error
1,50000,9.069128468031007,3.096030432981066,19.41226189939046,31.751142947558137,675.1285599179054
4,50000,8.862449344180712,3.209830033505687,20.033519853641195,32.99189999642594,622.7766255291963
3,50000,8.710717330408048,3.1383949863140357,19.094096863347694,30.443229409261995,624.0311721895393
2,50000,8.542425152181892,3.1272060719706314,19.223151833238067,32.25844856844007,599.6609845113715
5,50000,8.377786271546034,3.1490019681214703,19.00444950053498,28.9141641291829,574.2088195598475
