feature,lgb_importance
target_diff1,25355.2
target_diff2,18615.4
avg_trip_distance_rel_to_scen,18427.6
target_lag_std3,17300.6
target_lag1,17198.2
order_per_station_rel_to_scen,17149.8
dock_to_stock_hours,16574.8
daily_forecast_accuracy,16546.6
avg_package_weight_kg,16505.6
zone_temp_variance,16250.8
bulk_order_ratio,16111.6
cold_storage_temp_c,16035.8
wms_response_time_ms,15983.2
robot_firmware_update_days,15970.0
lighting_level_lux,15962.6
agv_task_success_rate,15906.2
sort_accuracy_pct,15890.8
air_quality_idx,15885.4
packaging_material_cost,15850.6
fleet_age_months_avg,15826.0
quality_check_rate,15743.8
racking_height_avg_m,15717.4
floor_vibration_idx,15710.4
wind_speed_kmh,15693.6
express_lane_util,15672.0
maintenance_schedule_score,15671.2
cross_dock_ratio,15645.0
charge_efficiency_pct,15632.4
wifi_signal_db,15621.8
aisle_traffic_score,15612.8
network_latency_ms,15590.4
pallet_wrap_time_min,15589.2
robot_calibration_score,15501.4
safety_score_monthly,15495.4
shift_handover_delay_min,15490.4
return_order_ratio,15445.4
hvac_power_kw,15441.4
storage_density_pct,15429.8
ups_battery_pct,15392.4
vertical_utilization,15358.0
ambient_noise_db,15345.0
precipitation_mm,15297.0
prev_shift_volume,15283.2
intersection_wait_time_avg,15253.8
barcode_read_success_rate,15231.6
backorder_ratio,15228.0
pick_list_length_avg,15227.0
inventory_turnover_rate,15212.8
external_temp_c,15210.6
humidity_pct,15195.8
avg_trip_distance_diff1,15175.4
path_optimization_score,15135.0
battery_cycle_count_avg,15120.6
scanner_error_rate,15112.6
conveyor_speed_mps,15105.6
lighting_zone_variance,15101.6
co2_level_ppm,15085.0
pack_utilization_rel_to_scen,15075.6
staging_area_util,14964.6
avg_idle_duration_min,14951.4
warehouse_temp_avg,14763.8
avg_trip_distance_diff2,14642.0
kpi_otd_pct,14536.6
outbound_truck_wait_min_roll3_std,14369.2
loading_dock_util,14294.8
outbound_truck_wait_min_diff1,14293.4
outbound_truck_wait_min_diff2,14215.4
day_of_week_X_shift_hour_te,13937.2
worker_avg_tenure_months,13929.0
heavy_item_ratio,13737.4
avg_items_per_order,13594.8
cold_chain_ratio,13452.4
unique_sku_15m,13231.4
replenishment_overlap,13133.4
avg_trip_distance_roll3_std,12834.2
shift_hour_X_timeslot_te,12678.8
outbound_truck_wait_min_roll5_std,12675.4
target_roll10_mean,12458.6
layout_id_X_shift_hour_te,12356.4
layout_type_X_shift_hour_te,12309.2
target_lag5,12231.0
battery_cv_diff1,12223.4
target_lag4,11996.6
manual_override_ratio,11784.4
battery_cv_diff2,11430.4
order_per_station_diff1,11060.0
order_per_station_scen_rank,11054.4
outbound_truck_wait_min_roll10_std,10981.6
pack_utilization_scen_rank,10975.0
outbound_truck_wait_min,10894.4
day_of_week_X_layout_type_te,10880.8
pack_utilization_diff1,10836.8
day_of_week_X_layout_id_te,10702.0
urgent_order_ratio,10662.4
target_lag2,10248.8
order_per_station_diff2,10101.6
target_lag_min3,10089.0
day_of_week_X_timeslot_te,10087.6
avg_trip_distance_roll5_std,10048.2
target_lag3,10005.4
order_inflow_15m_diff1,9984.0
day_of_week_te,9889.6
pack_utilization_diff2,9804.4
zone_dispersion,9632.6
battery_cv_roll3_std,9512.8
staff_on_floor,9408.8
pack_utilization_roll3_std,9408.4
order_inflow_15m_roll3_std,9317.6
battery_mean_scen_max,9310.2
order_per_station_roll3_std,9301.6
outbound_truck_wait_min_lag4,9299.6
floor_area_sqm,9233.4
layout_id_X_timeslot_te,9208.2
one_way_ratio,9132.8
battery_std,9119.6
target_lag_max3,9052.6
order_inflow_15m_diff2,9027.6
shift_hour_te,9014.2
robot_efficiency_diff1,9008.8
