feature,xgb_importance
risk_index_scen_mean,0.05491566434502602
risk_index,0.03751123733818531
congestion_score_scen_mean,0.03467337712645531
max_zone_density_scen_mean,0.02047854531556368
ops_x_cong,0.01633543036878109
bottle_neck,0.014674371108412743
congestion_score,0.01262225192040205
low_battery_ratio_scen_mean,0.011072788946330547
max_zone_density,0.010465050488710404
congestion_score_rel_to_scen,0.008825649740174413
pack_utilization_scen_mean,0.008397852629423141
cong_x_trip,0.00745122330263257
max_zone_density_exp_mean,0.00709782550111413
congestion_score_exp_mean,0.00699017527513206
order_pressure_scen_mean,0.006487768143415451
order_per_station_scen_mean,0.006318576820194721
low_battery_ratio_roll10_max,0.006310496386140585
pack_utilization,0.006154447980225086
order_per_station_scen_max,0.0061516351997852325
order_pressure_scen_std,0.005718109710142016
battery_cv_scen_std,0.005685729486867785
low_battery_ratio_exp_mean,0.0056769921444356445
pack_utilization_exp_mean,0.005673579033464193
bottle_neck_exp_mean,0.00527366294991225
bottle_neck_roll10_mean,0.005246243486180901
order_pressure_scen_max,0.005130150262266398
order_per_station_scen_std,0.004424100369215011
avg_trip_distance_scen_mean,0.004070618981495499
risk_index_scen_std,0.004045167611911893
pack_utilization_roll10_mean,0.004027014225721359
ts_x_congestion_score,0.003986443975009024
avg_trip_distance_scen_min,0.003919463744387031
battery_cv_scen_mean,0.0038437427952885627
congestion_score_scen_max,0.003713936032727361
pack_utilization_scen_min,0.0036605891771614553
avg_trip_distance_scen_max,0.0036532673984766006
battery_cv_scen_max,0.003533487906679511
risk_index_ewm_mean,0.0034946480998769404
battery_risk_scen_mean,0.003399265371263027
low_battery_ratio_scen_std,0.0033326234668493273
ops_x_pack,0.0033186683896929024
risk_index_scen_max,0.0032643670681864025
robot_idle_roll5_min,0.0032275005942210555
risk_index_exp_mean,0.0032160390634089707
max_zone_density_scen_std,0.0031470829620957375
risk_index_roll10_mean,0.0030899297446012495
battery_cv_roll10_max,0.0030396407935768368
congestion_score_scen_std,0.0030052246525883674
order_per_station_exp_mean,0.0029750290792435407
max_zone_density_scen_max,0.002802479034289718
layout_compactness,0.0027977070771157742
robot_idle_roll10_min,0.0027689557289704682
avg_trip_distance_exp_mean,0.002704353025183082
battery_mean_scen_min,0.002693490870296955
battery_mean_scen_mean,0.0026919519528746604
low_battery_ratio_scen_min,0.0026784440502524375
order_per_station_roll10_min,0.002677692519500852
max_zone_density_scen_min,0.0026555157732218505
low_battery_ratio_scen_max,0.0026474467013031244
pack_utilization_scen_std,0.002566905552521348
v13_sqrt_robot_total,0.0025569902267307044
order_inflow_15m_scen_mean,0.0025296791456639765
risk_index_scen_min,0.002515493053942919
order_pressure_scen_min,0.0024971750564873217
sku_concentration_scen_mean,0.0024838848039507866
sku_concentration_scen_min,0.0024807621259242294
battery_risk_scen_min,0.002462443383410573
pack_utilization_scen_max,0.002457943418994546
congestion_score_scen_min,0.002424780745059252
order_inflow_15m_scen_max,0.002377256890758872
order_per_station_scen_min,0.0023755351547151806
robot_efficiency_scen_mean,0.002373356930911541
robot_efficiency_scen_min,0.0023622377309948208
sku_concentration_scen_max,0.002348624914884567
robot_idle_scen_mean,0.00234740455634892
order_inflow_15m_scen_std,0.002341181831434369
layout_type_te,0.0023304461501538754
outbound_truck_wait_min_scen_max,0.0023199279326945542
robot_total_roll10_min,0.002313655335456133
battery_risk_scen_max,0.0023110675625503062
low_battery_ratio_roll10_mean,0.002309086942113936
layout_type,0.00230734646320343
outbound_truck_wait_min_scen_min,0.0022964239120483398
robot_efficiency_scen_max,0.0022806817665696143
outbound_truck_wait_min_scen_mean,0.0022434343118220568
avg_trip_distance_roll10_mean,0.002234494127333164
battery_risk_scen_std,0.0022314787842333318
battery_cv_scen_min,0.002230584667995572
battery_mean_scen_std,0.002219213405624032
zone_dispersion,0.0022186174057424067
robot_idle_scen_max,0.0022130801342427732
robot_idle_scen_min,0.002191011933609843
robot_efficiency_scen_std,0.002184175094589591
order_per_station_roll10_mean,0.0021811299957334995
avg_trip_distance_roll10_min,0.0021744572091847657
avg_trip_distance_scen_std,0.002172192558646202
robot_idle_scen_std,0.0021704887971282006
outbound_truck_wait_min_scen_std,0.002164223603904247
low_battery_ratio_roll5_max,0.002152220322750509
order_inflow_15m_scen_min,0.0021419029682874678
battery_mean_scen_max,0.0021354575175791977
layout_id_te,0.0021338761784136296
robot_total_lag4,0.0021161311771720646
robot_total_lag1,0.0021022607572376726
layout_id_X_layout_type_te,0.002083638682961464
sku_concentration_exp_mean,0.0020611526677384974
avg_trip_distance_ewm_mean,0.002055116929113865
intersection_count,0.002052543591707945
sku_concentration_roll10_min,0.002043046336621046
one_way_ratio,0.002042515226639807
robot_total_roll3_mean,0.0020421594846993683
sku_concentration_lag5,0.0020395642379298804
robot_total_roll5_min,0.002034541335888207
robot_density,0.002031187294051051
pack_station_count,0.002029638853855431
robot_total_roll3_max,0.00201246403157711
sku_concentration_lag3,0.0020118770655244587
robot_total_lag2,0.0020101455273106696
robot_total_roll3_min,0.0020042176824063064
robot_total_lag3,0.002003800286911428
sku_concentration_ewm_mean,0.0019998305942863226
aisle_width_avg,0.001995739317499101
robot_total_lag5,0.0019905807450413702
robot_total_roll10_max,0.0019901452120393514
robot_total_roll5_mean,0.001989223621785641
robot_total_ewm_mean,0.001988800475373864
order_per_station_roll5_min,0.0019866519840434195
sku_concentration_roll5_mean,0.0019852537428960205
sku_concentration_roll10_max,0.0019823182141408325
robot_idle_roll3_min,0.0019813106395304204
robot_total_exp_mean,0.0019798429450020192
sku_concentration_lag4,0.0019794484367594125
congestion_score_scen_rank,0.001975409290753305
pack_utilization_scen_rank,0.0019739767303690314
building_age_years,0.00197239404078573
sku_concentration_roll5_max,0.0019659038865938784
ceiling_height_m,0.001965032401494682
sku_concentration_lag2,0.0019626890541985633
sku_concentration_lag1,0.0019610107177868486
robot_total_roll5_max,0.001957694557495415
floor_area_sqm,0.0019502588547766209
robot_total,0.0019465814111754298
sku_concentration_roll3_mean,0.001942307106219232
sku_concentration_roll3_max,0.001940032048150897
avg_trip_distance_roll10_max,0.001936353137716651
emergency_exit_count,0.0019346229499205946
avg_trip_distance_lag4,0.0019183524185791613
sku_concentration_roll3_min,0.0019159530755132436
sku_concentration_roll5_min,0.0019028669223189354
avg_trip_distance_lag5,0.0019021921791136265
fire_sprinkler_count,0.001900545321404934
charger_count,0.0018993831239640714
robot_total_roll10_mean,0.0018807682441547512
order_per_station_ewm_mean,0.001875844900496304
sku_concentration_roll10_mean,0.001852275338023901
order_per_station_roll10_max,0.0018102261237800121
avg_trip_distance_roll5_min,0.0018030262552201747
avg_trip_distance_roll5_max,0.0017368957633152604
