feature,lgb_importance,xgb_importance,cat_importance,mean_importance
battery_mean_scen_max,5324.6,0.0021313661709427834,1.2757375854256583,1775.2926229838656
battery_cv_scen_min,4734.0,0.002206900995224714,1.5581140593041458,1578.5201069867665
avg_items_per_order,4628.6,0.0011067539919167757,2.092905943749136,1543.5646708992472
outbound_truck_wait_min_scen_std,4571.2,0.002145935222506523,0.7616587887346756,1523.9879349079858
zone_dispersion,4428.0,0.0022039076779037715,1.4048912419390436,1476.469031716539
layout_compactness,4278.6,0.0027888708747923372,1.9241200956284583,1426.8423029888345
manual_override_ratio,4245.6,0.0011677699396386743,0.2573517216668663,1415.2861731638689
avg_trip_distance_scen_std,4072.4,0.002157801948487759,0.6225933923750386,1357.6749170647747
sku_concentration,3897.2,0.0012984993634745478,0.3421717904481072,1299.1811567632706
one_way_ratio,3887.6,0.002000686735846102,0.6244519499968265,1296.0754842122442
layout_id_te,3833.2,0.002056646905839443,0.36191066347833295,1277.854655770128
battery_mean_scen_std,3756.4,0.002216762024909258,0.5184967333608904,1252.306904498462
ceiling_height_m,3721.2,0.0019643409410491585,0.6654502278153874,1240.6224715229187
floor_area_sqm,3620.6,0.0019424845231696963,0.666849236827116,1207.08959724045
battery_mean_scen_min,3554.6,0.0026279814075678585,0.6558066074316298,1185.0861448629464
outbound_truck_wait_min_scen_min,3540.8,0.0022436647675931455,0.7653894909500517,1180.5225443852394
aisle_width_avg,3539.4,0.0019464720971882343,0.8453868508059706,1180.0824444409677
precipitation_mm,3463.0,0.0006796251051127911,0.046478885498381126,1154.3490528368677
building_age_years,3446.8,0.0018919596448540687,0.5819543839462421,1149.1279487811971
robot_efficiency_scen_std,3356.8,0.0021240323781967162,0.730902437856854,1119.1776754900784
order_inflow_15m_scen_std,3345.8,0.0023138919379562138,0.9078002734011179,1115.5700380551132
robot_idle_scen_std,3315.2,0.002185647189617157,0.6027287275958597,1105.268304791595
cold_chain_ratio,3295.6,0.000719369133003056,1.0202044468870985,1098.8736412720066
pack_utilization_scen_mean,3290.0,0.00875885495916009,2.8103104691816,1097.6063564413803
fire_sprinkler_count,3283.2,0.0018805009312927723,0.6412934424614092,1094.6143913144642
outbound_truck_wait_min_scen_mean,3266.4,0.0022815339732915165,0.6605735591566726,1089.02095169771
warehouse_temp_avg,3262.8,0.0006444290862418711,0.04381946211442668,1087.6148212970668
floor_vibration_idx,3262.6,0.0006975556723773479,0.037559202726657984,1087.5460855861331
pack_utilization_scen_std,3253.0,0.0024786283262073993,2.495448382759136,1085.1659756703618
order_per_station_scen_min,3249.2,0.002366289682686329,0.6700495143557622,1083.290805268013
daily_forecast_accuracy,3247.8,0.0007268512737937272,0.02066517631528069,1082.607130675863
external_temp_c,3235.2,0.0006815324537456036,0.05185984247963334,1078.4175137916443
humidity_pct,3220.6,0.000629358144942671,0.0330778822457406,1073.5445690801303
