feature,xgb_importance
risk_index_scen_mean,0.05231459066271782
risk_index,0.03666755557060242
congestion_score_scen_mean,0.03216385804116726
max_zone_density_scen_mean,0.02529820315539837
bottle_neck,0.02241193912923336
ops_x_cong,0.019604567904025316
congestion_score,0.014457540772855281
low_battery_ratio_scen_mean,0.011735077854245901
max_zone_density,0.010644219815731049
pack_utilization_scen_mean,0.00875885495916009
battery_cv_scen_std,0.007673231326043606
max_zone_density_exp_mean,0.007612928003072739
low_battery_ratio_roll10_max,0.007213925197720528
order_pressure_scen_mean,0.00678725428879261
order_per_station_scen_max,0.006412457767874002
low_battery_ratio_exp_mean,0.006004790682345629
pack_utilization_exp_mean,0.005957184033468366
bottle_neck_roll10_mean,0.005611235764808953
pack_utilization,0.00544639602303505
order_per_station_scen_mean,0.005402749637141824
congestion_score_rel_to_scen,0.005322692776098847
order_pressure_scen_std,0.004894870519638062
risk_index_ewm_mean,0.004818871361203491
order_pressure_scen_max,0.004650799697265029
order_per_station_scen_std,0.004274912783876062
avg_trip_distance_scen_mean,0.004124164581298828
battery_risk_scen_mean,0.004051468521356583
ops_x_pack,0.00403620139695704
risk_index_scen_std,0.004024617234244942
pack_utilization_roll10_mean,0.004018108081072569
risk_index_exp_mean,0.0038984492886811493
battery_cv_scen_mean,0.003810832928866148
risk_index_roll10_mean,0.00379637461155653
pack_utilization_scen_min,0.003778616199269891
avg_trip_distance_scen_min,0.003756853472441435
congestion_score_exp_mean,0.0037357766181230546
avg_trip_distance_scen_max,0.0036003210581839083
battery_cv_scen_max,0.0035962396766990425
risk_index_scen_max,0.003325983928516507
congestion_score_scen_std,0.003314908407628536
cong_x_trip,0.003144786087796092
max_zone_density_scen_std,0.003135404409840703
order_per_station_exp_mean,0.003081623138859868
robot_idle_roll3_min,0.003073084051720798
low_battery_ratio_roll5_max,0.0029203544137999414
low_battery_ratio_scen_std,0.0028404548764228823
order_per_station_roll10_min,0.0028011654037982227
layout_compactness,0.0027888708747923372
robot_idle_roll5_min,0.0027780996169894934
max_zone_density_scen_max,0.0027511675376445054
avg_trip_distance_exp_mean,0.0027325056958943605
robot_idle_roll10_min,0.002729460736736655
bottle_neck_exp_mean,0.0026999279856681825
low_battery_ratio_scen_max,0.0026626701466739176
battery_mean_scen_min,0.0026279814075678585
low_battery_ratio_scen_min,0.0026276194956153633
congestion_score_scen_max,0.002612832421436906
max_zone_density_scen_min,0.00258808801881969
v13_sqrt_robot_total,0.002587987808510661
order_inflow_15m_scen_mean,0.00253310976549983
risk_index_scen_min,0.002530860435217619
pack_utilization_scen_std,0.0024786283262073993
congestion_score_scen_min,0.002423140499740839
sku_concentration_scen_max,0.0024221467319875956
sku_concentration_scen_min,0.0024138884618878365
battery_risk_scen_min,0.0024038989562541247
order_pressure_scen_min,0.0023956409189850093
pack_utilization_scen_max,0.0023923535831272603
battery_cv_roll10_max,0.0023920233128592373
sku_concentration_scen_mean,0.002385814441367984
battery_mean_scen_mean,0.002384953759610653
order_per_station_scen_min,0.002366289682686329
order_per_station_roll10_mean,0.0023432666668668388
layout_type_te,0.0023379916790872814
robot_idle_scen_mean,0.002330784406512976
ts_x_congestion_score,0.0023307181894779206
order_inflow_15m_scen_max,0.0023217196110635998
robot_efficiency_scen_min,0.002320121368393302
order_inflow_15m_scen_std,0.0023138919379562138
robot_efficiency_scen_mean,0.002311793388798833
low_battery_ratio_roll10_mean,0.002297446341253817
layout_type,0.002286810101941228
robot_efficiency_scen_max,0.0022845612838864326
outbound_truck_wait_min_scen_mean,0.0022815339732915165
outbound_truck_wait_min_scen_max,0.0022745132446289062
robot_idle_scen_min,0.002253897092305124
outbound_truck_wait_min_scen_min,0.0022436647675931455
robot_total_exp_mean,0.002227705460973084
battery_risk_scen_max,0.002217692835256457
battery_mean_scen_std,0.002216762024909258
battery_cv_scen_min,0.002206900995224714
zone_dispersion,0.0022039076779037715
battery_risk_scen_std,0.002186916349455714
robot_idle_scen_std,0.002185647189617157
avg_trip_distance_roll10_mean,0.0021836158819496633
avg_trip_distance_scen_std,0.002157801948487759
robot_idle_scen_max,0.002154719131067395
order_inflow_15m_scen_min,0.0021459505427628756
outbound_truck_wait_min_scen_std,0.002145935222506523
robot_total_roll10_mean,0.0021370455157011746
battery_mean_scen_max,0.0021313661709427834
robot_efficiency_scen_std,0.0021240323781967162
avg_trip_distance_roll10_min,0.002123256819322705
robot_total_ewm_mean,0.0021096822805702687
layout_id_X_layout_type_te,0.002090035378932953
robot_total_lag3,0.0020712741184979676
robot_total_roll10_max,0.0020668125711381436
robot_total_lag2,0.0020613184897229075
layout_id_te,0.002056646905839443
robot_total_lag4,0.0020475784316658975
order_per_station_roll5_min,0.002047317195683718
avg_trip_distance_roll10_max,0.0020366407465189696
avg_trip_distance_ewm_mean,0.0020300235133618116
sku_concentration_lag4,0.0020266179461032154
robot_total_roll3_mean,0.0020203085616230963
robot_total_lag1,0.0020146180409938096
sku_concentration_roll10_max,0.002013702061958611
intersection_count,0.0020122343674302103
robot_density,0.0020082644652575253
one_way_ratio,0.002000686735846102
sku_concentration_lag3,0.0019974883180111647
sku_concentration_roll10_mean,0.0019972733221948146
sku_concentration_lag2,0.0019931394839659334
robot_total_lag5,0.0019921934232115745
robot_total_roll5_min,0.0019887038972228764
sku_concentration_roll3_max,0.0019772065104916694
ceiling_height_m,0.0019643409410491585
robot_total_roll3_max,0.0019617810379713775
robot_total_roll5_mean,0.0019605519017204644
pack_station_count,0.0019570146687328815
sku_concentration_lag1,0.001956740510649979
sku_concentration_roll5_min,0.001955405459739268
sku_concentration_roll5_mean,0.0019527475582435728
robot_total_roll3_min,0.0019517319975420832
sku_concentration_roll3_mean,0.0019507969496771692
aisle_width_avg,0.0019464720971882343
sku_concentration_ewm_mean,0.0019440734060481191
floor_area_sqm,0.0019424845231696963
sku_concentration_exp_mean,0.0019395566079765559
sku_concentration_roll5_max,0.0019309037830680608
sku_concentration_roll10_min,0.0019282946595922112
sku_concentration_lag5,0.0019272531848400832
robot_total,0.0019242208218201995
sku_concentration_roll3_min,0.001917520072311163
robot_total_roll5_max,0.0019137682160362602
congestion_score_scen_rank,0.0019064829917624592
avg_trip_distance_lag4,0.0019005670910701156
order_per_station_roll10_max,0.0018958231201395392
building_age_years,0.0018919596448540687
pack_utilization_scen_rank,0.0018823011312633752
fire_sprinkler_count,0.0018805009312927723
task_reassign_15m,0.001876500528305769
charger_count,0.0018711408833041788
emergency_exit_count,0.0018628250807523727
pack_utilization_roll10_min,0.0018384743016213179
battery_risk_exp_mean,0.0018226053565740586
robot_total_roll10_min,0.0018223485676571727
avg_trip_distance_roll5_min,0.001806319411844015
avg_trip_distance_lag2,0.0017646584659814835
avg_trip_distance_lag5,0.0017554376740008593
order_per_station_ewm_mean,0.0017411006381735205
avg_trip_distance_roll5_mean,0.001720518642105162
avg_trip_distance_lag3,0.0016995461657643319
avg_trip_distance_roll5_max,0.0016875475645065307
order_per_station_roll5_mean,0.0015890415059402585
risk_index_roll5_mean,0.0015594985336065293
avg_trip_distance_lag1,0.001519005070440471
avg_trip_distance_roll3_max,0.0015123444376513363
avg_trip_distance_roll3_min,0.0015095925657078624
risk_index_roll10_max,0.0014854911947622894
order_per_station,0.0014799010474234819
pack_utilization_rel_to_scen,0.001472454727627337
avg_trip_distance_roll3_mean,0.0014269625768065452
battery_risk_roll10_max,0.0014259157003834843
risk_index_roll10_min,0.001423371722921729
pack_utilization_ewm_mean,0.0014177268836647271
order_per_station_roll10_std,0.0013821468921378255
day_of_week_X_layout_id_te,0.001368885999545455
max_zone_density_roll10_min,0.0013541745953261851
robot_efficiency_roll10_min,0.0013510121498256922
bottle_neck_roll10_max,0.001343920174986124
day_of_week_X_layout_type_te,0.0013305607717484236
battery_cv_exp_mean,0.0013248576782643796
congestion_score_roll10_min,0.0013248159317299723
