feature,lgb_importance
battery_cv_roll3_std,1015.6
outbound_truck_wait_min_lag1,1013.2
order_per_station_scen_rank,1008.2
outbound_truck_wait_min_roll3_max,993.4
order_pressure_roll10_min,990.6
order_per_station_diff1,988.4
pack_utilization_exp_mean,986.8
order_inflow_15m_exp_mean,979.0
ops_x_pack,979.0
robot_utilization,977.0
order_per_station_roll10_std,972.8
order_inflow_15m_roll10_max,971.6
pack_utilization_roll10_min,966.6
robot_efficiency_lag5,962.2
pack_utilization_roll3_std,959.2
avg_trip_distance_lag3,957.4
pack_utilization_roll10_std,940.8
order_inflow_15m_roll10_min,937.8
battery_cv_roll5_std,926.2
day_of_week_X_timeslot_te,924.4
battery_cv_lag5,919.8
order_inflow_15m_roll10_std,918.2
avg_trip_distance_roll10_min,916.4
order_per_station_roll5_std,914.6
order_per_station_diff2,914.0
avg_trip_distance_roll5_min,911.8
layout_type_X_timeslot_te,910.8
robot_efficiency_roll5_min,894.0
robot_efficiency_lag4,893.2
avg_trip_distance_roll3_min,886.4
day_of_week,882.6
order_per_station_roll10_max,882.2
pack_utilization_lag4,881.0
robot_efficiency_roll5_std,879.4
avg_trip_distance_roll3_max,875.0
order_inflow_15m_lag4,869.2
avg_trip_distance_roll3_mean,868.8
pack_utilization_roll5_std,860.6
pack_utilization_diff2,858.8
order_inflow_15m_roll5_min,855.6
robot_efficiency_roll10_max,854.2
pack_utilization_lag5,854.2
order_inflow_15m_lag5,853.2
order_per_station_lag5,851.6
battery_cv_roll10_std,842.8
robot_efficiency_lag3,836.8
max_zone_density_exp_mean,833.4
robot_efficiency_lag2,831.6
robot_active_exp_mean,831.4
sku_concentration_lag2,830.8
order_pressure_diff2,822.0
order_per_station_roll3_std,817.4
pack_utilization,811.0
order_per_station_roll5_min,809.8
order_inflow_15m_roll5_std,806.8
robot_idle_exp_mean,803.6
cumulative_orders,800.6
robot_efficiency_roll3_std,795.2
order_inflow_15m_roll3_std,794.2
order_per_station_lag3,792.8
robot_efficiency_roll10_std,792.4
robot_idle_roll10_std,791.4
pack_utilization_roll3_min,784.6
outbound_truck_wait_min_roll3_mean,784.2
robot_efficiency_diff1,780.0
order_pressure_lag5,775.6
sku_concentration_roll3_max,773.6
order_inflow_15m_lag1,773.4
outbound_truck_wait_min_roll5_mean,770.2
pack_utilization_roll5_min,769.2
robot_idle_scen_min,765.0
pack_utilization_diff1,764.2
avg_trip_distance_roll5_max,752.6
order_per_station_lag4,742.2
pack_utilization_roll10_mean,737.0
outbound_truck_wait_min_ewm_mean,735.2
robot_idle,734.2
shift_hour,730.6
robot_efficiency_exp_mean,729.6
robot_idle_roll10_mean,728.8
battery_cv_lag4,728.4
order_inflow_15m_roll3_min,727.8
robot_efficiency_lag1,727.6
avg_trip_distance_roll10_mean,726.2
robot_efficiency_diff2,725.4
avg_trip_distance_exp_mean,725.0
ts_x_pack_utilization,723.6
order_per_station_roll3_min,720.4
robot_efficiency_roll3_min,715.6
order_inflow_15m_lag3,712.6
robot_efficiency_roll5_max,708.8
risk_index_exp_mean,698.2
forklift_active_count,698.2
order_inflow_15m_diff1,696.8
order_inflow_15m_roll5_max,692.8
order_pressure_diff1,692.4
avg_trip_distance_roll5_mean,691.4
order_per_station_exp_mean,691.0
robot_active_roll10_std,689.2
order_per_station_lag1,688.4
order_pressure_scen_max,687.8
