feature,lgb_importance,xgb_importance,cat_importance,mean_importance
target_diff1,25355.2,0.001711117336526513,4.814014899839968,8453.33857533906
target_diff2,18615.4,0.0009027108084410429,1.2945157971260914,6205.565139502646
avg_trip_distance_rel_to_scen,18427.6,0.0005014932132326067,0.08915660537722403,6142.563219366196
target_lag_std3,17300.6,0.0015286690089851619,1.3299898831041899,5767.310506184037
target_lag1,17198.2,0.027686191350221635,18.01593934677914,5738.747875179378
order_per_station_rel_to_scen,17149.8,0.000990095385350287,0.40388476830608955,5716.734958287897
dock_to_stock_hours,16574.8,0.00046327094896696507,0.09379452247921446,5524.96475259781
daily_forecast_accuracy,16546.6,0.0004454257432371378,0.06426139150027335,5515.554902272414
avg_package_weight_kg,16505.6,0.0004185199912171811,0.054112151256683935,5501.884843557083
zone_temp_variance,16250.8,0.0004653169889934361,0.09138168173942805,5416.963948999576
bulk_order_ratio,16111.6,0.0004334811237640679,0.061759931223088,5370.554064470783
cold_storage_temp_c,16035.8,0.00044682540465146303,0.08877853217763579,5345.296408452527
wms_response_time_ms,15983.2,0.0004055971803609282,0.085863021947709,5327.762089539709
robot_firmware_update_days,15970.0,0.0004587880684994161,0.06326954246835484,5323.354576110179
lighting_level_lux,15962.6,0.0003808285982813686,0.09155994039176343,5320.897313589664
agv_task_success_rate,15906.2,0.00045170567464083435,0.10992483458557742,5302.103458846754
sort_accuracy_pct,15890.8,0.0004611285694409162,0.05633946868518082,5296.952266865751
air_quality_idx,15885.4,0.00039519924321211873,0.05728753024732408,5295.152560909831
packaging_material_cost,15850.6,0.00048126447945833205,0.0800376819326338,5283.560172982138
fleet_age_months_avg,15826.0,0.00043985109659843146,0.07718653095864496,5275.359208794019
quality_check_rate,15743.8,0.0004624413268174976,0.08037952847077269,5247.960280656599
racking_height_avg_m,15717.4,0.0004572944017127156,0.12441520270350388,5239.1749574990345
floor_vibration_idx,15710.4,0.00038963396800681946,0.04743607764145043,5236.815941903869
