feature,cat_importance
sku_concentration_roll3_min,0.17719596516013114
robot_total_lag2,0.17268017251292736
avg_trip_distance_roll5_min,0.17209195854587592
robot_total_lag3,0.1674818386656758
robot_idle_roll10_min,0.1657601336055547
robot_active_roll3_min,0.1640884195189835
robot_total_roll5_mean,0.163940941668912
order_pressure_diff2,0.16238401125812674
bottle_neck_exp_mean,0.15799772154727285
robot_idle_roll5_mean,0.15572366100342
max_zone_density_ewm_mean,0.1532747507073348
robot_idle_roll3_min,0.15319676696423948
v13_sqrt_robot_total,0.15241850473644322
order_per_station_roll3_mean,0.15019291453118466
ts_x_pack_utilization,0.1500465545337057
sku_concentration_exp_mean,0.14933950969688342
order_pressure_roll10_max,0.14759406565570488
order_pressure_roll3_std,0.14227638933769043
ts_x_order_per_station,0.13941556683577025
sku_concentration_ewm_mean,0.1382738123791314
congestion_score,0.13505365529630792
ops_x_cong,0.13498349303912233
robot_idle_lag1,0.13395984928992116
pack_utilization_rel_to_scen,0.13310510343770282
co2_level_ppm,0.13189135455883189
robot_efficiency_roll5_min,0.13067562250667367
robot_idle,0.13059596868889484
robot_total_lag1,0.12802633626162263
pack_utilization_roll10_std,0.12564646304681495
order_pressure_roll5_mean,0.12561339143052022
robot_active_roll5_mean,0.12450032830175059
robot_total_lag4,0.11890059746502854
avg_idle_duration_min,0.11785685821226691
robot_idle_roll5_min,0.11754746130571314
robot_total_roll5_min,0.11712879121810278
battery_risk_exp_mean,0.11495606702505931
robot_efficiency_roll10_min,0.11427132735875759
robot_total_exp_mean,0.11357901328359614
order_pressure_roll10_min,0.11333490803514985
robot_total_roll10_min,0.11226078813945643
robot_efficiency_exp_mean,0.11212156807113019
robot_total_lag5,0.11088055362256126
unique_sku_15m,0.10996765469970834
robot_active_lag2,0.10850647456465501
order_per_station_rel_to_scen,0.1052796047168896
order_per_station_roll5_std,0.1038376426625163
risk_index_roll5_max,0.10228827851327744
near_collision_15m,0.10164391385278888
lighting_level_lux,0.09959677217284092
robot_total_roll3_min,0.09773519119221949
risk_index_roll10_max,0.096830353380336
timeslot,0.09668441317332191
risk_index_roll5_mean,0.09538548071513868
robot_total_roll10_mean,0.0926387452705975
robot_active_lag4,0.09237089712911584
robot_idle_scen_min,0.0921901502688861
congestion_score_exp_mean,0.09173631291069714
low_battery_ratio_roll10_mean,0.09080174653511308
robot_total_ewm_mean,0.09026838972651091
max_zone_density_roll10_mean,0.09009442845149702
risk_index_roll3_min,0.0878980000315404
robot_total_roll3_mean,0.08604387928688477
battery_cv_roll10_std,0.08518170252700245
robot_idle_ewm_mean,0.08497980422099492
day_of_week,0.08446496438135506
robot_idle_roll3_mean,0.08281934475012104
robot_efficiency_lag5,0.07882934448303312
low_battery_ratio_roll5_max,0.078158399244526
order_per_station_lag3,0.07804995456564519
robot_total_roll5_max,0.07803134947433296
order_inflow_15m_exp_mean,0.0751134200679631
robot_active_ewm_mean,0.0743649355941015
cold_storage_temp_c,0.07382829154106038
battery_cv_roll10_mean,0.07215689946815222
robot_active_roll3_mean,0.07110143227816115
risk_index_ewm_mean,0.07093543668783017
robot_total_roll10_max,0.07088916133420853
wms_response_time_ms,0.0707905107375885
lowbat_x_eff,0.07025989738616302
max_zone_density_roll5_mean,0.06920703323412679
robot_idle_roll10_mean,0.0691924458623538
order_per_station_roll3_max,0.06863463449750129
pack_utilization_roll5_mean,0.06705771134385258
risk_index_roll5_min,0.06670453810177743
robot_idle_exp_mean,0.06611079040619858
label_print_queue,0.06597117194613075
robot_total_roll3_max,0.06474735585419941
order_inflow_15m_roll10_mean,0.06439378988925298
order_pressure_diff1,0.06367327997919145
low_battery_ratio_ewm_mean,0.06213020704065912
day_of_week_X_layout_type_te,0.0614991581276914
robot_charging,0.061156719571468454
order_per_station_lag2,0.060828052152839596
timeslot_te,0.06056130653928338
low_battery_ratio_roll5_mean,0.0605242994545094
robot_active_lag5,0.06017602239831282
pack_utilization_diff2,0.05972810861372646
battery_mean,0.05894610778485232
return_order_ratio,0.05863453707240081
pick_list_length_avg,0.0559134164520916
risk_index_roll3_max,0.054742664944644026
robot_active,0.05473230375100198
robot_active_lag3,0.05351747059282599
urgent_order_ratio,0.053408537371230524
network_latency_ms,0.05305683913788375
pack_utilization_roll5_min,0.052652977506583445
robot_idle_lag5,0.05227432345428682
external_temp_c,0.05185984247963334
battery_cv_roll3_max,0.05065339144699037
max_zone_density_lag1,0.05058081168292693
max_zone_density_roll3_mean,0.05024072034251696
dock_to_stock_hours,0.049922922323945115
hvac_power_kw,0.049858734253787874
risk_index_lag1,0.0493767529262537
low_battery_ratio_scen_min,0.048982360879210075
robot_efficiency_lag3,0.04867682980186287
order_pressure_roll10_mean,0.04759874476576324
ups_battery_pct,0.04720511129483011
outbound_truck_wait_min_exp_mean,0.046737371068277425
precipitation_mm,0.046478885498381126
robot_idle_roll3_max,0.04622328792320476
barcode_read_success_rate,0.04597766337476067
robot_utilization,0.04539171403525939
battery_cv,0.045245210992636425
order_inflow_15m_roll10_min,0.045198702676689684
robot_active_roll10_mean,0.0451250573947596
robot_idle_roll10_std,0.04496639937894501
day_of_week_X_layout_id_te,0.0443899078854809
robot_idle_roll10_max,0.044084570189341955
low_battery_ratio,0.04398590937098878
blocked_path_15m,0.04397542210983818
warehouse_temp_avg,0.04381946211442668
robot_efficiency,0.042744656115133076
order_inflow_15m_roll3_mean,0.04255485211691546
risk_index_roll10_std,0.042276079381685136
aisle_traffic_score,0.042228709204579974
battery_cv_ewm_mean,0.041461483391305565
bottle_neck_ewm_mean,0.04102395605824179
robot_calibration_score,0.04001938099526009
order_per_station_roll3_min,0.03980484262301325
day_of_week_X_timeslot_te,0.03927987193941731
order_per_station_lag1,0.039251442704684184
robot_efficiency_lag4,0.03904810647026755
robot_efficiency_roll3_min,0.03893368822874141
congestion_score_roll10_mean,0.038857946753570405
robot_active_exp_mean,0.038845297064983894
order_pressure_lag2,0.03857824091414534
robot_efficiency_diff1,0.038545234950356076
v13_sqrt_order_inflow,0.038526173415566745
max_zone_density_roll10_max,0.03843138609285514
robot_efficiency_roll10_mean,0.03824274673034307
congestion_score_roll5_min,0.03790338223722202
floor_vibration_idx,0.037559202726657984
cong_x_trip,0.03722823278986461
risk_index_roll3_mean,0.03685334330930693
order_per_station_scen_rank,0.03673051108065614
congestion_score_roll10_max,0.03637187210625003
pack_utilization_roll3_min,0.036272619846928936
lighting_zone_variance,0.036253084817010665
v13_row_frac_in_scen,0.03615781202013433
bottle_neck_roll10_max,0.0352283612224741
outbound_truck_wait_min_roll10_max,0.0351898267015293
pallet_wrap_time_min,0.035174765843722776
max_zone_density_roll10_min,0.034853706721467544
risk_index_lag4,0.034459335427597416
order_inflow_15m_roll10_max,0.0344069420610564
ts_x_low_battery_ratio,0.03427822730172832
low_battery_ratio_roll5_std,0.03424427047256693
battery_risk_ewm_mean,0.03402432735319368
robot_efficiency_ewm_mean,0.033902507808851456
express_lane_util,0.03369400107957693
wind_speed_kmh,0.033290141781487835
humidity_pct,0.0330778822457406
risk_index_roll10_min,0.032687592267458244
order_inflow_15m_roll10_std,0.03265585916176275
max_zone_density_lag5,0.03216451712729677
battery_risk_roll5_max,0.031491306828903026
robot_efficiency_lag2,0.03131681945686331
congestion_score_diff1,0.03097018900342438
worker_avg_tenure_months,0.03096650191275561
scanner_error_rate,0.030387342826205248
robot_efficiency_roll10_std,0.030067060387350898
bottle_neck_roll10_mean,0.02961724039304075
v13_ts_sin,0.029472817046936377
bottle_neck_roll10_std,0.02940360164367737
robot_idle_roll5_max,0.029357844003740606
battery_risk_roll10_std,0.0292816416026642
risk_index_lag5,0.029181748261627578
order_per_station_diff2,0.028824979443490256
order_inflow_15m,0.028813657408391553
charge_efficiency_pct,0.028660579346163895
battery_cv_roll3_min,0.028273080476094337
air_quality_idx,0.0280386669025464
robot_idle_lag4,0.028024650725374578
agv_task_success_rate,0.027960871166850386
bottle_neck_roll3_max,0.026814693274946417
outbound_truck_wait_min_roll3_mean,0.026686782108068397
cong_x_pack,0.026599100930255682
robot_active_roll5_max,0.026421454321905218
robot_idle_lag3,0.02633566938390745
robot_efficiency_roll5_mean,0.026098491699400657
layout_type_X_timeslot_te,0.0259964186392533
cross_dock_ratio,0.02579042000646663
low_battery_ratio_lag1,0.02543789048456434
battery_risk_roll10_mean,0.025252531856176423
fault_count_15m,0.02523814650179134
order_pressure_lag5,0.025210487211578834
battery_risk_roll10_max,0.024809816114258598
bottle_neck_roll3_min,0.024634935514552297
order_inflow_15m_roll5_max,0.024433428769913185
robot_efficiency_roll5_max,0.024399501917184225
max_zone_density_roll3_max,0.02421543839865386
battery_risk_roll5_mean,0.02420504616241099
ambient_noise_db,0.024052751049491766
bottle_neck_lag1,0.024043588333961856
order_pressure_lag1,0.024020601517428804
backorder_ratio,0.02401981836879259
kpi_otd_pct,0.023787088964809976
max_zone_density_roll5_min,0.02328066114392002
pack_utilization_lag5,0.02324987817965617
battery_cv_roll5_mean,0.023212281005911852
