iter	MAE
256	0.4595151552
257	0.4594566747
258	0.4593794216
259	0.4593348714
260	0.4592931673
261	0.4592312105
262	0.459168152
263	0.45910897
264	0.45901757
265	0.4589570747
266	0.4588872513
267	0.4588513042
268	0.4588193847
269	0.4587800014
270	0.4587447192
271	0.4587047766
272	0.4586567126
273	0.458604871
274	0.4585478704
275	0.4584789775
276	0.4584157462
277	0.458373404
278	0.458295448
279	0.4582455217
280	0.4582069997
281	0.4581625011
282	0.4580892203
283	0.4580389004
284	0.4580018534
285	0.4579644173
286	0.4579167685
287	0.4578465605
288	0.4578001144
289	0.4577370249
290	0.4576643614
291	0.4576107395
292	0.4575581192
293	0.4574963372
294	0.4574640108
295	0.4574232518
296	0.4573660874
297	0.4573269172
298	0.4572668135
299	0.4571936076
300	0.4571499072
301	0.4570898237
302	0.457029945
303	0.4569914609
304	0.4569314426
305	0.4568385804
306	0.4567956778
307	0.4567583926
308	0.4566601887
309	0.456596395
310	0.4565299708
311	0.4564923326
312	0.4564253166
313	0.4563756006
314	0.4563070723
315	0.4562723435
316	0.4562332842
317	0.4562066426
318	0.4561565896
319	0.4561183071
320	0.4560586074
321	0.4559868687
322	0.4559271582
323	0.455862695
324	0.4558179127
325	0.4557312705
326	0.4556877543
327	0.4556378658
328	0.4555718825
329	0.4555429522
330	0.4554998566
331	0.4554361325
332	0.4553869457
333	0.4553280996
334	0.455274832
335	0.4552108902
336	0.4551633359
337	0.4551065801
338	0.4550535668
339	0.4550208197
340	0.4549782799
341	0.4549367324
342	0.4548880893
343	0.4548585271
344	0.4548177611
345	0.4547856216
346	0.4547305329
347	0.4546785406
348	0.4546232999
349	0.454579556
350	0.4545158053
351	0.4544648977
352	0.4544135472
353	0.4543696988
354	0.4543266212
355	0.4542739163
356	0.45420389
357	0.4541524505
358	0.4541229142
359	0.4540581261
360	0.4539965859
361	0.4539378282
362	0.4539052178
363	0.4538510467
364	0.4537757069
365	0.4537121369
366	0.4536627369
367	0.4536116343
368	0.453545646
369	0.4535012994
370	0.4534473163
371	0.4533814023
372	0.4533252463
373	0.4532868086
374	0.453265163
375	0.4532240159
376	0.453167007
377	0.4531231155
378	0.4530732168
379	0.4530284195
380	0.4529733922
381	0.4529123811
382	0.4528451503
383	0.4527834093
384	0.4527356934
385	0.4526799001
386	0.4526310085
387	0.4525842119
388	0.4525509409
389	0.4525113942
390	0.452423912
391	0.4523748396
392	0.4523266878
393	0.4522911714
394	0.4522410703
395	0.4521717556
396	0.4520976383
397	0.452058463
398	0.4519911403
399	0.4519448327
400	0.4519003982
401	0.451850151
402	0.4517933247
403	0.4517461242
404	0.4516972825
405	0.4516178167
406	0.4515630383
407	0.4515088023
408	0.4514675347
409	0.4514442156
410	0.4514069717
411	0.4513597733
412	0.4512824089
413	0.4512431798
414	0.4511907702
415	0.4511642841
416	0.4510973742
417	0.4510703093
